role,catalog_model,external_model,internal_model,part_no,part_family,in_0922,notes
standalone_face,ASI6213J-MW,DHI-ASI6213J-MW,DHI-ASI6213J-MW,1.0.01.25.11076,门禁/考勤 Access Control,yes,"catalog p34; FACT 4.3"" 6k faces IC Wi-Fi IP65"
standalone_face,ASI6214J-MFW,DHI-ASI6214J-MFW,DHI-ASI6214J-MFW,1.0.01.25.11077,门禁/考勤 Access Control,yes,"catalog p34; FACT 4.3"" 6k faces+fingerprint IC"
standalone_face,ASI3214A-W,DHI-ASI3214A-W,DHI-ASI3214A-W,1.0.01.25.11699-0020,门禁/考勤 Access Control,yes,"catalog p35; FACT 4.3"" 3k faces + 5k FP Wi-Fi"
standalone_face,ASI3213A-W,DHI-ASI3213A-W,DHI-ASI3213A-W,1.0.01.25.11698-0017,门禁/考勤 Access Control,yes,"catalog p35; FACT 4.3"" 3k faces Wi-Fi"
standalone_face,ASI3223A,DHI-ASI3223A,DHI-ASI3223A,1.0.01.25.11697,门禁/考勤 Access Control,yes,"catalog p35; FACT 4.3"" 2k faces no card reader"
standalone_face,ASI3213G-MW,DHI-ASI3213G-MW,DHI-ASI3213G-MW,1.0.01.25.11054,门禁/考勤 Access Control,yes,"catalog p35; FACT 4.3"" 1.5k faces Wi-Fi"
standalone_face,ASI7213X,DHI-ASI7213X,DHI-ASI7213X-V1,1.0.01.25.11281,门禁/考勤 Access Control,yes,"catalog p36; 7"" 100k faces IP65"
standalone_face,ASI7213Y-V3,DHI-ASI7213Y-V3,DHI-ASI7213Y-V3,1.0.01.25.10850,门禁/考勤 Access Control,yes,"catalog p36; 7"" 50k faces"
standalone_face,ASI7214Y-V3,DHI-ASI7214Y-V3,DHI-ASI7214Y-V3,1.0.01.25.10852,门禁/考勤 Access Control,yes,"catalog p37; 7"" 50k faces + 10k FP"
standalone_face,ASI8214Y-V3,DHI-ASI8214Y-V3,DHI-ASI8214Y-V3,1.0.01.25.10858,门禁/考勤 Access Control,yes,"catalog p37; 10"" 100k faces + 10k FP IP65"
turnstile_module,ASI7223X-A,DHI-ASI7223X-A,DHI-ASI7223X-A-V1,1.0.01.25.11284,门禁/考勤 Access Control,yes,"catalog p37; 7"" turnstile face module 100k"
temperature,ASI6213J-FT1,DHI-ASI6213J-FT1,DHI-ASI6213J-FT1,1.0.01.25.11405-9001,门禁/考勤 Access Control,yes,catalog p38; forehead temp + face 6k
controller,ASC2202B-S,DHI-ASC2202B-S,DHI-ASC2202B-S,1.0.01.25.11022-0011,门禁/考勤 Access Control,yes,catalog p39; 2-door 1-way 100k users
controller,ASC2202B-D,DHI-ASC2202B-D,DHI-ASC2202B-D,1.0.01.25.11025-0013,门禁/考勤 Access Control,yes,catalog p39; 2-door 2-way
controller,ASC2204B-S,DHI-ASC2204B-S,DHI-ASC2204B-S,1.0.01.25.11028-9002,门禁/考勤 Access Control,yes,catalog p39; 4-door 1-way
controller,ASC2202C-D,DHI-ASC2202C-D,DHI-ASC2202C-D,1.0.01.25.11411-9001,门禁/考勤 Access Control,yes,catalog mtbf; C series 2-door 2-way PoE candidate
controller,ASC2202C-S,DHI-ASC2202C-S,DHI-ASC2202C-S,1.0.01.25.11409-9003,门禁/考勤 Access Control,yes,catalog mtbf; C series 2-door 1-way
controller,ASC2204C-D,DHI-ASC2204C-D,DHI-ASC2204C-D,1.0.01.25.11415-9001,门禁/考勤 Access Control,yes,catalog mtbf; C series 4-door 2-way
controller,ASC2204C-S,DHI-ASC2204C-S,DHI-ASC2204C-S,1.0.01.25.11413-9001,门禁/考勤 Access Control,yes,catalog poster; C series 4-door 1-way; 64-door poster
controller,ASC2208C-S,DHI-ASC2208C-S,DHI-ASC2208C-S,1.0.01.25.11417-9002,门禁/考勤 Access Control,yes,catalog mtbf; C series 8-door 1-way
controller,ASC3202B,DHI-ASC3202B,DHI-ASC3202B,1.0.01.25.11473-0005,门禁/考勤 Access Control,yes,catalog poster; Insider main/sub controller; 40-door poster
reader,ASR1200E,DHI-ASR1200E,DHI-ASR1200E,1.0.01.25.10452-0030,门禁/考勤 Access Control,yes,catalog p42; Mullion IC reader
reader,ASR1200E-D,DHI-ASR1200E-D,DHI-ASR1200E-D,1.0.01.25.10453-0023,门禁/考勤 Access Control,yes,catalog p42; Mullion ID reader
reader,ASR1100B-V1,DHI-ASR1100B-V1,DHI-ASR1100B-V1,1.0.01.25.11672-0005,门禁/考勤 Access Control,yes,catalog p42; Slim IC reader
reader,ASR1100B-D-V1,DHI-ASR1100B-D-V1,DHI-ASR1100B-D-V1,1.0.01.25.11674-9003,门禁/考勤 Access Control,yes,catalog p42; Slim ID reader
reader,ASR1101M-V1,DHI-ASR1101M-V1,DHI-ASR1101M-V1,1.0.01.25.11661-9001,门禁/考勤 Access Control,yes,catalog p43; Metal keypad IC IK08
reader,ASR1101M-D-V1,DHI-ASR1101M-D-V1,DHI-ASR1101M-D-V1,1.0.01.25.11663-0004,门禁/考勤 Access Control,yes,catalog p43; Metal keypad ID
reader,ASR2200A,DHI-ASR2200A,DHI-ASR2200A,1.0.01.25.11183-0011,门禁/考勤 Access Control,yes,catalog p43; IC reader IP66
reader,ASR2200A-D,DHI-ASR2200A-D,DHI-ASR2200A-D,1.0.01.25.11184-0009,门禁/考勤 Access Control,yes,catalog p43; ID reader IP66
reader,ASR2201A,DHI-ASR2201A,DHI-ASR2201A,1.0.01.25.11187,门禁/考勤 Access Control,yes,catalog p43; IC keypad IP66
reader,ASR2100A,DHI-ASR2100A,DHI-ASR2100A,1.0.01.25.11193-0007,门禁/考勤 Access Control,yes,catalog p43; IC reader IP66
