path,uncompressed_bytes,compressed_bytes,zip_method
Access Control & Time Attendance/,0,0,0
Access Control & Time Attendance/01.Basic Information/,0,0,0
Access Control & Time Attendance/01.Basic Information/AI Standalone Function List_2023.3.15.xlsx,33408,28226,8
Access Control & Time Attendance/01.Basic Information/AI Standalone Function List_2023.8.16.xlsx,140800,101945,8
Access Control & Time Attendance/01.Basic Information/Face Recognition Access Controller - Baseline V3.0 Function & program  List_20230722.xlsx,1539584,1500247,8
Access Control & Time Attendance/01.Basic Information/Face Recognition Access Controller - Baseline V3.1 Function & program  List_20231130.xlsx,1540096,1500422,8
Access Control & Time Attendance/01.Basic Information/Face Recognition Access Controller - Baseline V3.2 Function & Program List_20240617.xlsx,1540096,1500033,8
Access Control & Time Attendance/01.Basic Information/Access Control Product Function List V2.0 20250520.xlsx,1540096,1500033,8
Access Control & Time Attendance/01.Basic Information/Face Recognition Access Controller - Baseline V3.3 Function & Program List_20250109.xlsx,1942528,1900568,8
Access Control & Time Attendance/01.Basic Information/Face Recognition Access Controller - Baseline V3.41 Function & Program List_20251014.xlsx,1942528,1900568,8
Access Control & Time Attendance/01.Basic Information01. Product Replacement/,0,0,0
Access Control & Time Attendance/01.Basic Information01. Product Replacement/Face Recognition Access standalone series(ASI3G&6J&7Y&7X&8Y) replacement form_2023.2.23.xlsx,1713610,1703022,8
Access Control & Time Attendance/01.Basic Information03. MTBF/,0,0,0
Access Control & Time Attendance/01.Basic Information03. MTBF/01. AI Standalone/,0,0,0
Access Control & Time Attendance/01.Basic Information03. MTBF/01. AI Standalone/20210703_DH3.RD003504_火山星项目_DH-ASI7214X_MTBF报告.pdf,75285,70822,8
Access Control & Time Attendance/01.Basic Information03. MTBF/01. AI Standalone/20210910_DH3.RD004298_天蛇星项目_ASI7213X-V1-T1_MTBF报告.pdf,75739,69570,8
Access Control & Time Attendance/01.Basic Information03. MTBF/01. AI Standalone/DHI-ASI6213J-MW_1.0.01.25.11076_MTBF Report.pdf,145030,136883,8
Access Control & Time Attendance/01.Basic Information03. MTBF/01. AI Standalone/DHI-ASI6214J-MFW_1.0.01.25.11077_MTBF Report.pdf,145860,137652,8
Access Control & Time Attendance/01.Basic Information03. MTBF/01. AI Standalone/DHI-ASI6213J-FT1_1.0.01.25.11405_MTBF Report.pdf,146169,137881,8
Access Control & Time Attendance/01.Basic Information03. MTBF/01. AI Standalone/DHI-ASI7214X_1.0.01.25.11283_MTBF Report.pdf,145861,137615,8
Access Control & Time Attendance/01.Basic Information03. MTBF/01. AI Standalone/DHI-ASI7214Y-V3_1.0.01.25.10852_MTBF Report.pdf,88643,80219,8
Access Control & Time Attendance/01.Basic Information03. MTBF/01. AI Standalone/20220921_DH3.RD004298_Access Controller_DHI-ASI3213A-W_MTBF Report.pdf,74474,69059,8
Access Control & Time Attendance/01.Basic Information03. MTBF/01. AI Standalone/20220921_DH3.RD004298_Access Controller_DHI-ASI3223A_MTBF Report.pdf,73707,68365,8
Access Control & Time Attendance/01.Basic Information03. MTBF/01. AI Standalone/20220921_DH3.RD004298_Access Controller_DHI-ASA3223A-W_MTBF Report.pdf,74146,68868,8
Access Control & Time Attendance/01.Basic Information03. MTBF/01. AI Standalone/20220921_DH3.RD004298_Access Controller_DHI-ASI3214A-W_MTBF Report.pdf,74473,69052,8
Access Control & Time Attendance/01.Basic Information03. MTBF/01. AI Standalone/20220921_DH3.RD004298_Access Controller_DHI-ASI7213X-V1-T1_MTBF Report.pdf,76042,70395,8
Access Control & Time Attendance/01.Basic Information03. MTBF/01. AI Standalone/20220921_DH3.RD004298_Access Controller_DHI-ASI7223X-A-V1-T1_MTBF Report.pdf,76041,70408,8
Access Control & Time Attendance/01.Basic Information03. MTBF/01. AI Standalone/20221207_DH3.RD003731_斯诺星_ASI3213G-MW_MTBF报告.pdf,75039,69435,8
Access Control & Time Attendance/01.Basic Information03. MTBF/01. AI Standalone/20230825_DH3.RD003724_闸机模块_DHI-ASI7223X-A-V1_MTBF报告.pdf,75503,69874,8
Access Control & Time Attendance/01.Basic Information03. MTBF/02. Access Controllers and Readers/,0,0,0
Access Control & Time Attendance/01.Basic Information03. MTBF/02. Access Controllers and Readers/DHI-ASC2202C-D_1.0.01.25.11411_MTBF Report.pdf,83814,75936,8
Access Control & Time Attendance/01.Basic Information03. MTBF/02. Access Controllers and Readers/DHI-ASM101A_1.0.01.25.11209_MTBF Report.pdf,84736,76723,8
Access Control & Time Attendance/01.Basic Information03. MTBF/02. Access Controllers and Readers/DHI-ASR2102A_1.0.01.25.11204_MTBF Report.pdf,84720,76705,8
Access Control & Time Attendance/01.Basic Information03. MTBF/02. Access Controllers and Readers/DHI-ASC2204C-D_1.0.01.25.11415_MTBF Report.pdf,84659,76569,8
Access Control & Time Attendance/01.Basic Information03. MTBF/02. Access Controllers and Readers/DHI-ASR2200A-D_1.0.01.25.11184_MTBF Report.pdf,84297,76297,8
Access Control & Time Attendance/01.Basic Information03. MTBF/02. Access Controllers and Readers/DHI-ASR2102A-D_1.0.01.25.11205_MTBF Report.pdf,84718,76703,8
Access Control & Time Attendance/01.Basic Information03. MTBF/02. Access Controllers and Readers/DHI-ASR2200A_1.0.01.25.11183_MTBF Report.pdf,84081,76186,8
Access Control & Time Attendance/01.Basic Information03. MTBF/02. Access Controllers and Readers/DHI-ASC2204B-S_1.0.01.25.11028_MTBF Report.pdf,145683,137472,8
Access Control & Time Attendance/01.Basic Information04. Catalog/,0,0,0
Access Control & Time Attendance/01.Basic Information04. Catalog/Catalog_Video-Intercom_Access-Control_Alarm_building_V1.0_EN_202202(64P).pdf,15909457,12557789,8
Access Control & Time Attendance/01.Basic Information04. Catalog/Catalog_Video Intercom_Access Control_Alarm_Building_V2.0_EN_202212.pdf,10873092,7339067,8
Access Control & Time Attendance/01.Basic Information04. Catalog/Catalog_Dahua Access Control_V1.0_EN_20251014.pdf,10873092,7339067,8
Access Control & Time Attendance/01.Basic Information04. Catalog/Editable Version for  2025 Catalog/,0,0,0
Access Control & Time Attendance/01.Basic Information04. Catalog/Editable Version for  2025 Catalog/Fonts.zip,10873092,7339067,8
Access Control & Time Attendance/01.Basic Information04. Catalog/Editable Version for  2025 Catalog/Catalog_Dahua Access Control_V1.0_EN_2025.ai,10873092,7339067,8
Access Control & Time Attendance/01.Basic Information05. Solution/,0,0,0
Access Control & Time Attendance/01.Basic Information05. Solution/Poster_Single Door Access Control Solution_V1.0_EN_202208/,0,0,0
Access Control & Time Attendance/01.Basic Information05. Solution/Poster_Single Door Access Control Solution_V1.0_EN_202208/Poster_Single Door Access Control Solution_V1.0_EN_202208.ai,54778825,54453241,8
Access Control & Time Attendance/01.Basic Information05. Solution/Poster_Single Door Access Control Solution_V1.0_EN_202208/Poster_Single Door Access Control Solution_V1.0_EN_202208.pdf,1360920,1241262,8
Access Control & Time Attendance/01.Basic Information05. Solution/01. Network Access Control Solution by Insider Series (40 doors)/,0,0,0
Access Control & Time Attendance/01.Basic Information05. Solution/01. Network Access Control Solution by Insider Series (40 doors)/Poster_Multi-door Network Access Control Solution-02_V1.0_EN_202208/,0,0,0
Access Control & Time Attendance/01.Basic Information05. Solution/01. Network Access Control Solution by Insider Series (40 doors)/Poster_Multi-door Network Access Control Solution-02_V1.0_EN_202208/Poster_Multi-door Network Access Control Solution-02_V1.0_EN_202208.ai,110566715,110127050,8
Access Control & Time Attendance/01.Basic Information05. Solution/01. Network Access Control Solution by Insider Series (40 doors)/Poster_Multi-door Network Access Control Solution-02_V1.0_EN_202208/Poster_Multi-door Network Access Control Solution-02_V1.0_EN_202208.pdf,851920,715791,8
Access Control & Time Attendance/01.Basic Information05. Solution/02. Network Access Control Solution by SmartPSS Lite (64 doors)/,0,0,0
Access Control & Time Attendance/01.Basic Information05. Solution/02. Network Access Control Solution by SmartPSS Lite (64 doors)/Poster_Multi-door Network Access Control Solution-01_V1.0_EN_202208/,0,0,0
