path,uncompressed_bytes,compressed_bytes,zip_method
01-Product Selection/,0,0,0
01-Product Selection/Alarms/,0,0,0
01-Product Selection/Alarms/【Alarm】Product Selection_20240205.xlsx,16704000,16400301,8
01-Product Selection/Alarms/【Alarm】Product Selection_20240228.xlsx,16751104,16448956,8
01-Product Selection/Alarms/【Alarm】Product Selection_20240321.xlsx,16840704,16537011,8
01-Product Selection/Alarms/【Alarm】Product Selection_20241202.xlsx,17171968,16858403,8
01-Product Selection/Alarms/【Alarm】Product Selection_20250909.xlsx,17171968,16858403,8
01-Product Selection/Alarms/【Alarm】Product Selection_20260327.xlsx,17171968,16858403,8
01-Product Selection/Alarms/【Alarm】Product Selection_20260608.xlsx,17171968,16858403,8
01-Product Selection/Alarms/【Alarm】Product Selection_20260804.xlsx,17171968,16858403,8
01-Product Selection/Software/,0,0,0
01-Product Selection/Software/DSS Selection V2.16.xlsx,725504,681118,8
01-Product Selection/Software/DSS Selection V2.19.xlsx,766464,726263,8
01-Product Selection/Software/DSS Selection V2.20-20250526.xlsx,766464,726263,8
01-Product Selection/Software/DSS Selection V2.21-20251126.xlsx,766464,726263,8
01-Product Selection/Software/DSS Selection V8.8_20260409.xlsx,766464,726263,8
"01-Product Selection/Software/(EN) License Selection Chart of Extreme V4.0, Video Gataway and Data Gateway. 25.12.15.xlsx",766464,726263,8
01-Product Selection/Software/(中文) Extreme V4.0+视频、数据网关license选型表 25.12.15.xlsx,766464,726263,8
01-Product Selection/Software/CyberCity License Selection Chart V1.5.0_EN. 2025.12.11.xlsx,766464,726263,8
01-Product Selection/SoftwareOld version/,0,0,0
01-Product Selection/SoftwareOld version/DSS Selection V2.21-20251211(3).xlsx,766464,726263,8
01-Product Selection/SoftwareOld version/DSS Selection V2.21-20251126(1).xlsx,766464,726263,8
01-Product Selection/SoftwareOld version/CyberCity License Selection Chart V1.5.0_EN. 2025.11.26.xlsx,766464,726263,8
"01-Product Selection/SoftwareOld version/(EN) License Selection Chart of Extreme V4.0, Video Gataway and Data Gateway. 25.7.29.xlsx",766464,726263,8
01-Product Selection/SoftwareOld version/DSS Selection V2.20-20250526.xlsx,766464,726263,8
01-Product Selection/SoftwareOld version/DSS Selection V2.20.xlsx,768000,727660,8
01-Product Selection/SoftwareOld version/DSS Selection V2.19.xlsx,766464,726263,8
01-Product Selection/SoftwareOld version/DSS Selection V2.18.xlsx,725504,681290,8
01-Product Selection/SoftwareOld version/DSS Selection V2.17.xlsx,724992,680523,8
01-Product Selection/SoftwareOld version/DSS Selection V2.16.xlsx,725504,681118,8
01-Product Selection/IVS/,0,0,0
01-Product Selection/IVS/IVS Selection List_20220613.xlsx,1395459,1375922,8
01-Product Selection/IVS/IVS Selection List_20230214.xlsx,1141784,1122639,8
