Category,Model,P/N,Description,Specification,Product
Face Recognition  Server,DHI-IVS-F7500-T-S2-GU2,1.0.01.18.10353,DAHUA ovesea Face Recognition Server,"2U: 2x Intel Xeon Gold 5120 | 8x16GB DDR, up to 512GB |  4TB SATA HDD x5 | NVIDIA Tesla T4x1| Linux Embedded",
,DHI-IVS-F7500-2T-S2-GU2,1.0.01.18.10354,DAHUA ovesea Face Recognition Server,"2U: 2x Intel Xeon Gold 5120 | 16x16GB DDR, up to 512GB |  4TB SATA HDD x5 | NVIDIA Tesla T4x2 | Linux Embedded",
Vehicle Recognition Server,DHI-IVS-T8100-T-300W,1.0.01.18.10446,DAHUA ovesea Vehicle Analysis Server,1U：Intel Xeon  E3-1275 V5 | Memory 32GB | 4TB SATA HDD x 1 |NVIDIA Tesla T4x1 | Linux Embedded,
,DHI-IVS-T8100-S-GU2,1.0.01.18.10381,DAHUA ovesea Vehicle Search Server,2U：Intel Xeon Silver 4114T x2 | Memory 128GB | 4TB SATA HDD x5 | Linux Embedded,
Video Structured Server,DHI-IVS-GS8000-GU2-HW,1.0.01.18.10662,DAHUA ovesea Video Structured Server （One server support four T4 cards）,2U：Intel Gold5120 x2 | Memory 128GB | 4TB SATA HDD x5 | Linux Embedded,
,DHI-IVS-VS8000-R-PRO,2.9.02.10.10062,DAHUA ovesea Video Structured pure software,Structured video stream 1 channel authorization,
Traffic Event Detection Server,DHI-IVS-TB8000-E-GU1,1.0.01.18.10618,DAHUA ovesea Traffic Event Detection Server （32 channel video stream）,1U：Intel Xeon E3-1275V5 x1 | Memory 16GB | 4TB SATA x1 | Intelligent Analysis Card x1 | Linux Embedded,
,DHI-IVS-TB8000-2E-GU2,1.0.01.18.10619,DAHUA ovesea Traffic Event Detection Server （64 channel video stream）,,
,DHI-IVS-TB8000-3E-GU2,1.0.01.18.10620,DAHUA ovesea Traffic Event Detection Server （96 channel video stream）,,
,DHI-IVS-TB8000-4E-GU2,1.0.01.18.10621,DAHUA ovesea Traffic Event Detection Server （128 channel video stream）,2U：10 core CPU x2 | Memory 16GB*4 | 4TB SATA x2 | AIX3200 x4 | Linux Embedded,
,DHI-IVS-TB8000-5E-GU2,1.0.01.18.10622,DAHUA ovesea Traffic Event Detection Server （160 channel video stream）,,
