role,catalog_model,external_model,internal_model,part_no,part_family,in_0922,notes
indoor_hero,DH-H3JE,DH-H3JE,DH-IPC-H3JEP-0280B-EUR,1.0.01.04.48317-9901,IPC 网络摄像机,yes,GKS Others/H3JE; indoor Hero; EUR SKU
indoor_hero,DH-H3A,DH-H3A,DH-IPC-H3AP-0360B-EUR,1.0.01.04.43549-9001,IPC 网络摄像机,yes,Hero indoor EUR
indoor_hero,DH-H5A,DH-H5A,DH-IPC-H5ASP-0280B-EUR,1.0.01.04.48883-9901,IPC 网络摄像机,yes,Hero indoor EUR
indoor_cube,DH-F5D-PV,DH-F5D-PV,DH-IPC-F5DP-PV-0280B-EUR,1.0.01.04.45447-9001,IPC 网络摄像机,yes,MTBF 20250121; dual-illum / active deterrence cube
indoor_cube,DH-F5D-IL,DH-F5D-IL,DH-IPC-F5DP-IL-0360B-EUR,1.0.01.04.45916-9001,IPC 网络摄像机,yes,full-color / IL indoor cube EUR
indoor_cube,DH-F4C-PV,DH-F4C-PV,DH-IPC-F4CP-PV-0280B-EUR,1.0.01.04.42925-9002,IPC 网络摄像机,yes,indoor cube PV EUR
wifi_dome,DH-IPC-HDW1339DA-SW-PV,DH-IPC-HDW1339DA-SW-PV,DH-IPC-HDW1339DAP-SW-PV-0360B-EUR,1.0.01.04.45398-9001,IPC 网络摄像机,yes,MTBF family HDW1539; Wi-Fi + PV; EUR
wifi_dome,DH-IPC-HDW1539DA-SW-PV,DH-IPC-HDW1539DA-SW-PV,DH-IPC-HDW1539DAP-SW-PV-0360B-EUR,1.0.01.04.45395-9001,IPC 网络摄像机,yes,MTBF 20250103 HDW1539DA-SW-PV
wifi_dome,DH-IPC-HDW1339DA-SAW-IL,DH-IPC-HDW1339DA-SAW-IL,DH-IPC-HDW1339DAP-SAW-IL-0280B-EUR,1.0.01.04.45390-9001,IPC 网络摄像机,yes,Wi-Fi SAW + dual illuminator EUR
wifi_bullet,DH-IPC-HFW1339DTK1-SW-PV,DH-IPC-HFW1339DTK1-SW-PV,DH-IPC-HFW1339DTK1P-SW-PV-0360B,1.0.01.04.45380-9001,IPC 网络摄像机,yes,MTBF 20241225 SW-PV
wifi_bullet,DH-IPC-HFW1339DTK1-SAW-IL,DH-IPC-HFW1339DTK1-SAW-IL,DH-IPC-HFW1339DTK1P-SAW-IL-0360B,1.0.01.04.45376-9002,IPC 网络摄像机,yes,MTBF 20241225 SAW-IL
wifi_streetlight,DH-IPC-WL46A,DH-IPC-WL46A,DH-IPC-WL46AP-0280B,1.0.01.04.40140,IPC 网络摄像机,yes,MTBF WL46AP-0280B street-light camera
lte_bullet,DH-IPC-HFW2441DG-4G-SP-B-MAX,DH-IPC-HFW2441DG-4G-SP-B-MAX,DH-IPC-HFW2441DGP-4G-SP-B-0360B-MAX-EUR,1.0.01.04.45462-9001,IPC 网络摄像机,yes,MTBF 20241119 4G solar/panel bullet MAX EUR
lte_battery,DH-BP4A-4G,DH-BP4A-4G,DH-IPC-BP4AP-4G-0360B-EUR,1.0.01.04.46128,IPC 网络摄像机,yes,4G battery pack EUR
lte_battery,DH-BP3EW-4GP,DH-BP3EW-4GP,DH-IPC-BP3EWP-4GP-0360B-EUR,1.0.01.04.47885-9001,IPC 网络摄像机,yes,4G battery EUR
lte_cube,DH-BF4CP-4G-XL,DH-BF4CP-4G-XL,DH-IPC-BF4CP-4G-0210B-XL-Pearl-EUR,1.0.01.04.46139,IPC 网络摄像机,yes,4G cube XL pearl EUR
battery_ptz,DH-P3AE-PV,DH-P3AE-PV,DH-SD-P3AE-PV-0400B-EUR,1.0.01.07.15562-9002,SD 球机,yes,MTBF 20240318 battery PTZ; family 1.0.01.07
battery_ptz,DH-P5AE-PV,DH-P5AE-PV,DH-SD-P5AE-PV-0400B-EUR,1.0.01.07.15563-9002,SD 球机,yes,MTBF 20240318 5MP battery PTZ
battery_ptz_lte,DH-P3AE-PV-4G,DH-P3AE-PV-4G,DH-SD-P3AE-PV-4G-0400B-EUR,1.0.01.07.15910,SD 球机,yes,4G battery PTZ EUR
battery_bullet,DH-P5AS-PV,DH-P5AS-PV,DH-IPC-P5ASP-PV-0400B-S2-EUR,1.0.01.04.45708-9001,IPC 网络摄像机,yes,MTBF 20250121 P5AS-PV EUR
wifi_ptz,DH-IPC-PT2349DC1-SW-PV,DH-IPC-PT2349DC1-SW-PV,DH-IPC-PT2349DC1P-SW-PV-0360B-PRO-EUR,1.0.01.07.16156-9001,SD 球机,yes,Wi-Fi PT EUR PRO
