path,uncompressed_bytes,compressed_bytes,zip_method
Wireless Cameras/,0,0,0
Wireless Cameras/01. Basic Information01. Product Selection/,0,0,0
Wireless Cameras/01. Basic Information01. Product Selection/Wireless Sereis Product Selection-202606.xlsx,34376643,32653559,8
Wireless Cameras/01. Basic Information01. Product Selection/Old Version/,0,0,0
Wireless Cameras/01. Basic Information01. Product Selection/Old Version/Wireless Sereis Product Selection-202507.xlsx,25027290,24162623,8
Wireless Cameras/01. Basic Information01. Product Selection/Old Version/Wireless Sereis Product Selection-202509.xlsx,24170353,24107054,8
Wireless Cameras/01. Basic Information01. Product Selection/Old Version/Wireless Sereis Product Selection-202510.xlsx,24170353,24107054,8
Wireless Cameras/01. Basic Information01. Product Selection/Old Version/Wireless Sereis Product Selection-202512.xlsx,24225682,24153095,8
Wireless Cameras/01. Basic Information01. Product Selection/Old Version/Wireless Sereis Product Selection-202603.xlsx,25608568,24722771,8
Wireless Cameras/01. Basic Information01. Product Selection/Old Version/Wireless Sereis Product Selection-202604.xlsx,25610428,24727112,8
Wireless Cameras/01. Basic Information01. Product Selection/Old Version/KV.psd,492378554,194755736,8
Wireless Cameras/01. Basic Information02. Product Naming Rules/,0,0,0
Wireless Cameras/01. Basic Information02. Product Naming Rules/2025无线命名规范_1203.xlsx,123392,79767,8
Wireless Cameras/01. Basic Information03. Catalog/,0,0,0
Wireless Cameras/01. Basic Information03. Catalog/Catalog_Dahua Wireless Camera_V1.0_EN_202606/,0,0,0
Wireless Cameras/01. Basic Information03. Catalog/Catalog_Dahua Wireless Camera_V1.0_EN_202606/Catalog_Dahua Wireless Camera-Outdoor Camera_V1.0_EN_outline_202606-02.ai,373494903,371926707,8
Wireless Cameras/01. Basic Information03. Catalog/Catalog_Dahua Wireless Camera_V1.0_EN_202606/Catalog_Dahua Wireless Camera-Outdoor Camera_V1.0_EN_202606-02.ai,366600886,365027985,8
Wireless Cameras/01. Basic Information03. Catalog/Catalog_Dahua Wireless Camera_V1.0_EN_202606/Catalog_Dahua Wireless Camera-Indoor Camera_V1.0_EN_outline_202606-01.ai,1129587643,1125926317,8
Wireless Cameras/01. Basic Information03. Catalog/Catalog_Dahua Wireless Camera_V1.0_EN_202606/Catalog_Dahua Wireless Camera-Indoor Camera_V1.0_EN_202606-01.ai,1113845647,1110181645,8
Wireless Cameras/01. Basic Information03. Catalog/Catalog_Dahua Wireless Camera_V1.0_EN_202606/Catalog_Dahua Wireless Camera-4G Camera_V1.0_EN_outline_202606-03.ai,530877911,529093115,8
Wireless Cameras/01. Basic Information03. Catalog/Catalog_Dahua Wireless Camera_V1.0_EN_202606/Catalog_Dahua Wireless Camera-4G Camera_V1.0_EN_202606-03.ai,524822516,523021493,8
Wireless Cameras/01. Basic Information03. Catalog/Catalog_Dahua Wireless Camera_V1.0_EN_202606/Catalog_Dahua Wireless Camera_V1.0_EN_202606.pdf,17128887,15646864,8
Wireless Cameras/01. Basic Information03. Catalog/Old Version/,0,0,0
Wireless Cameras/01. Basic Information03. Catalog/Old Version/Catalog_202509/,0,0,0
Wireless Cameras/01. Basic Information03. Catalog/Old Version/Catalog_202509/Catalog_Dahua Wireless Camera_V2.0_EN_202509_Outline.ai,1267012197,1263064736,8
Wireless Cameras/01. Basic Information03. Catalog/Old Version/Catalog_202509/Catalog_Dahua Wireless Camera_V2.0_EN_202509.ai,1247607443,1243686308,8
Wireless Cameras/01. Basic Information03. Catalog/Old Version/Catalog_202509/Catalog_Dahua Wireless Camera_V2.0_EN_202509.pdf,22115691,20644356,8
Wireless Cameras/01. Basic Information03. Catalog/Old Version/Catalog_202509/Catalog_Dahua Wireless Camera_V2.0_EN_202509.pptx,55981920,51960471,8
Wireless Cameras/01. Basic Information03. Catalog/Old Version/Catalog_202503/,0,0,0
Wireless Cameras/01. Basic Information03. Catalog/Old Version/Catalog_202503/Catalog_Dahua Wireless Camera_V1.0_EN_202503.pdf,8193306,7490096,8
Wireless Cameras/01. Basic Information03. Catalog/Old Version/Catalog_202503/Catalog_Dahua Wireless Camera_V1.0_EN_202503.ai,998282161,994906332,8
Wireless Cameras/01. Basic Information03. Catalog/Old Version/Catalog_202503/Catalog_Dahua Wireless Camera_V1.0_EN_202503-V8.pdf,8193306,7490096,8
Wireless Cameras/01. Basic Information03. Catalog/Old Version/Catalog_202503/Catalog_Dahua Wireless Camera_V1.0_EN_outline_202503.ai,1000886918,997706138,8
Wireless Cameras/01. Basic Information03. Catalog/Old Version/Catalog_202409/,0,0,0
