part_no,internal_model,external_model
1.0.01.04.31634-0016,DH-IPC-HCBW8442P-0250B,DH-IPC-HCBW8442P
1.0.01.04.39197,DH-IPC-HCBW8442P-0250B-EUR,DH-IPC-HCBW8442P
1.0.01.04.37894-0007,DH-IPC-HDW8441XP-3D-0200B,DH-IPC-HDW8441X-3D
1.0.01.04.37895-0011,DH-IPC-HDW8441XP-3D-0280B,DH-IPC-HDW8441X-3D
1.0.01.04.39387-9001,DH-IPC-HFS8449GP-Z-LED-0856-AC220V,DH-IPC-HFS8449G-Z7-LED
1.0.01.04.39389-9001,DH-IPC-HFS8849GP-Z-LED-1236-AC220V,DH-IPC-HFS8849G-Z3-LED
1.0.01.04.42099-9001,DH-IPC-HDW8441XP-BV-3D-0200B,DH-IPC-HDW8441X-BV-3D
1.0.01.04.42099,DH-IPC-HDW8441XP-BV-3D-0200B,DH-IPC-HDW8441X-BV-3D
1.0.01.04.42095-9001,DH-IPC-HDW8441XP-BV-3D-0280B,DH-IPC-HDW8441X-BV-3D
1.0.01.04.47774-9002,DH-IPC-HFW8449JP-Z-2712-SC,DH-IPC-HFW8449J-Z-SC
1.0.01.04.47774,DH-IPC-HFW8449JP-Z-2712-SC,DH-IPC-HFW8449J-Z-SC
1.0.01.04.38160-9001,DH-IPC-HDBW8841HP-Z-LB-2712-DC12AC24V,DH-IPC-HDBW8841H-Z-LB
1.0.01.04.38162-9002,DH-IPC-HDBW8841HP-Z-LB-0832-DC12AC24V,DH-IPC-HDBW8841H-Z4-LB
1.0.01.04.39213-0005,DH-IPC-PDBW82041P-B360-E4-2812-S2,DH-IPC-PDBW82041-B360-S2
1.0.01.04.39398-0001,DH-IPC-PDBW82041P-B360-E4-2812-ATC-S2,DH-IPC-PDBW82041-B360-S2
1.0.01.04.39514-0003,DH-IPC-PFW81642P-A180-DC12AC24V,DH-IPC-PFW81642-A180
1.0.01.04.39229-0003,DH-IPC-PFW83242P-A180-DC12AC24V-S2,DH-IPC-PFW83242-A180-S2
1.0.01.04.40588-9001,DH-IPC-PFW83242P-A180-DC12AC24V-ATC-S2,DH-IPC-PFW83242-A180-S2
1.0.01.04.35896-0010,DH-IPC-EBW8842P-AS-IVC,DH-IPC-EBW8842-AS-IVC
1.0.01.04.35892-0013,DH-IPC-EBW8842P-AS,DH-IPC-EBW8842-AS
1.0.01.04.35894,DH-IPC-EBW81242P-AS-S2,DH-IPC-EBW81242-AS-S2
1.0.01.04.35894-0028,DH-IPC-EBW81242P-AS-S2,DH-IPC-EBW81242-AS-S2
1.0.01.04.35898-0009,DH-IPC-EBW81242P-AS-IVC-S2,DH-IPC-EBW81242-AS-IVC-S2
1.0.01.04.36452,DH-IPC-EB81242P-PD,DH-IPC-EB81242-PD
1.0.01.04.36452-0013,DH-IPC-EB81242P-PD,DH-IPC-EB81242-PD
1.0.01.04.40104-0003,DH-IPC-HUM8531MP-V-LED-0360B,DH-IPC-HUM8531M-V-LED
1.0.01.04.45243,DH-KIT/IPC-HUM8441EP-E1-L1-0280B-S3,DH-IPC-HUM8441E-E1-L1
1.0.01.04.45245,DH-KIT/IPC-HUM8441EP-E1-L4-0280B-S3,DH-IPC-HUM8441E-E1-L4
1.0.01.04.45246,DH-KIT/IPC-HUM8441EP-E1-L5-0280B-S3,DH-IPC-HUM8441E-E1-L5
1.0.01.04.45275-9001,DH-IPC-HUM8441EP-E1-S3,DH-IPC-HUM8441E-E1
1.0.01.04.45277-9001,DH-IPC-HUM8441EP-E2-S3,DH-IPC-HUM8441E-E2
1.0.01.04.45263-0002,IPC-HUM8441E-L1-0280B-S3-8M,DH-IPC-HUM8441E-L1
1.0.01.04.45269,IPC-HUM8441E-L4-0280B-S3-8M,IPC-HUM8441E-L4
1.0.01.04.45269-0002,IPC-HUM8441E-L4-0280B-S3-8M,DH-IPC-HUM8441E-L4
1.0.01.04.45270-0001,IPC-HUM8441E-L5-0280B-S3-8M,DH-IPC-HUM8441E-L5
1.0.01.04.45264-0004,IPC-HUM8441E-L3-0280B-S3-8M,DH-IPC-HUM8441E-L3
1.0.01.04.45239,DH-KIT/IPC-HUM8241EP-E1-L1-0280B-S3,DH-IPC-HUM8241E-E1-L1
1.0.01.04.45240,DH-KIT/IPC-HUM8241EP-E1-L3-0280B-S3,DH-IPC-HUM8241E-E1-L3
1.0.01.04.45241,DH-KIT/IPC-HUM8241EP-E1-L4-0280B-S3,DH-IPC-HUM8241E-E1-L4
1.0.01.04.45271-9001,DH-IPC-HUM8241EP-E1-S3,DH-IPC-HUM8241E-E1
1.0.01.04.45273,DH-IPC-HUM8241EP-E2-S3,DH-IPC-HUM8241E-E2
1.0.01.04.45273-9001,DH-IPC-HUM8241EP-E2-S3,DH-IPC-HUM8241E-E2
1.0.01.04.45255-0002,IPC-HUM8241E-L1-0280B-S3-8M,DH-IPC-HUM8241E-L1
1.0.01.04.45261-0001,IPC-HUM8241E-L4-0280B-S3-8M,DH-IPC-HUM8241E-L4
1.0.01.04.45262-0004,IPC-HUM8241E-L5-0280B-S3-8M,DH-IPC-HUM8241E-L5
1.0.01.04.45256-0003,IPC-HUM8241E-L3-0280B-S3-8M,DH-IPC-HUM8241E-L3
1.0.01.04.37768-0007,DH-IPC-HUM4431SP-L4-0280B,DH-IPC-HUM4431S-L4
1.0.01.04.37769-0003,DH-IPC-HUM4431SP-L5-0280B,DH-IPC-HUM4431S-L5
1.0.01.04.45152-9001,DH-IPC-HUM4431S1P-L4-AS-0280B,DH-IPC-HUM4431S1-L4
1.0.01.04.37765-0006,DH-IPC-HUM4231SP-L4-0280B-S3,DH-IPC-HUM4231S-L4
1.0.01.04.37766-0004,DH-IPC-HUM4231SP-L5-0280B-S3,DH-IPC-HUM4231S-L5
1.0.01.04.45150-9001,DH-IPC-HUM4231S1P-L4-AS-0280B,DH-IPC-HUM4231S1-L4
1.0.01.04.45260,IPC-HUM8241E-L3-0800B-S3-3M,IPC-HUM8241E-L3
1.0.01.04.45259,IPC-HUM8241E-L3-0600B-S3-3M,IPC-HUM8241E-L3
1.0.01.04.37363-9001,DH-IPC-MFW7842K1P-Z-0856-T20-0360B,DH-IPC-MFW7842K1-Z7-T20
1.0.01.04.37362-9001,DH-IPC-MFW7842K1P-Z-0832-T20-0360B,DH-IPC-MFW7842K1-Z4-T20
1.0.01.04.37359-9001,DH-IPC-MFW7442K1P-Z-0856-T40-0360B,DH-IPC-MFW7442K1-Z7-T40
1.0.01.04.39608-9001,DH-IPC-MFW7449YP-Z-0856-T44-0832,DH-IPC-MFW7449Y-Z7-T44
